title,url,date,copyright,hdurl,explanation,media_type,service_version
A Lunar Corona over Turin,https://apod.nasa.gov/apod/image/1909/LunarCorona_Hofer_960.jpg,2019-09-16,Giorgia HoferCortina Astronomical Association,https://apod.nasa.gov/apod/image/1909/LunarCorona_Hofer_3264.jpg,"What are those colorful rings around the Moon? A corona. Rings like this will sometimes appear when the Moon is seen through thin clouds. The effect is created by the quantum mechanical diffraction of light around individual, similarly-sized water droplets in an intervening but mostly-transparent cloud. Since light of different colors has different wavelengths, each color diffracts differently. Lunar Coronae are one of the few  quantum mechanical color effects that can be easily seen with the unaided eye.  The featured lunar corona was captured around full Moon above Turin, Italy in 2014.  Similar coronae that form around the Sun are usually harder to see because of the Sun's great brightness.",image,v1
Water Vapor Discovered on Distant Exoplanet,https://apod.nasa.gov/apod/image/1909/K218b_ESAKornmesser_1080.jpg,2019-09-17,-,https://apod.nasa.gov/apod/image/1909/K218b_ESAKornmesser_6000.jpg,"Where else might life exist?  One of humanity's great outstanding questions, locating planets where extrasolar life might survive took a step forward recently with the discovery of a significant amount of water vapor in the atmosphere of distant exoplanet K2-18b. The planet and it parent star, K2-18, lie about 124 light years away toward the constellation of the Lion (Leo). The exoplanet is significantly larger and more massive than our Earth, but orbits in the habitable zone of its home star. K2-18, although more red than our Sun, shines in K2-18b's sky with a brightness similar to the Sun in Earth's sky.  The discovery was made in data from three space telescopes: Hubble, Spitzer, and Kepler, by noting the absorption of water-vapor colors when the planet moved in front of the star.  The featured illustration imagines exoplanet K2-18b on the right, its parent red dwarf star K2-18 on the left, and an unconfirmed sister planet between them.",image,v1
Along the Western Veil,https://apod.nasa.gov/apod/image/1909/veilXie1100.jpg,2019-09-19,Min Xie,https://apod.nasa.gov/apod/image/1909/veilXie.jpg,"Delicate in appearance, these filaments of shocked, glowing gas, are draped across planet Earth's sky toward the constellation of Cygnus.",image,v1
Saturn at Night,https://apod.nasa.gov/apod/image/1909/LastRingPortrait_Cassini_1080.jpg,2019-09-20,-,https://apod.nasa.gov/apod/image/1909/LastRingPortrait_Cassini_4472.jpg,,image,v1
The Tulip in the Swan,https://apod.nasa.gov/apod/image/1909/Tulip_CropRobertEder1024.jpg,2019-09-21,Robert Eder,https://apod.nasa.gov/apod/image/1909/Tulip_CropRobertEder.jpg,"Framing a bright emission region, this telescopic view looks out across a pretty field of stars along the plane of our Milky Way Galaxy, toward the nebula rich constellation Cygnus the Swan. Popularly called the Tulip Nebula, the reddish glowing cloud of interstellar gas and dust is also found in the 1959 catalog by astronomer Stewart Sharpless as Sh2-101. About 8,000 light-years distant and 70 light-years across the complex and beautiful nebula blossoms near the center of this composite image. Ultraviolet radiation from young energetic O stars at the edge of the Cygnus OB3 association, ionizes the atoms and powers the emission from the Tulip Nebula.",image,v1
Eye Sky a Dragon,https://apod.nasa.gov/apod/image/1909/EyeDragonSky_Komlev_960.jpg,2019-09-22,Anton Komlev,https://apod.nasa.gov/apod/image/1909/EyeDragonSky_Komlev_2000.jpg,"What do you see when you look into this sky? In the center, in the dark, do you see a night sky filled with stars? Do you see a sunset to the left? Clouds all around? Do you see the central band of our Milky Way Galaxy running down the middle? Do you see the ruins of an abandoned outpost on a hill? (The outpost is on Askold Island, Russia.)  Do you see a photographer with a headlamp contemplating surreal surroundings? (The image is a panorama of 38 images taken last month and compiled into a Little Planet projection.)  Do you see a rugged path lined with steps? Or do you see the eye of a dragon?",image,v1
Equinox: The Sun from Solstice to Solstice,https://apod.nasa.gov/apod/image/1909/seasons_tezel_1080.jpg,2019-09-23,Tunç TezelTWAN,https://apod.nasa.gov/apod/image/1909/seasons_tezel_1080.jpg,"Today is an equinox, a date when day and night are equal.  Tomorrow, and every day until the next equinox, the night will be longer than the day in Earth's northern hemisphere, and the day will be longer than the night in Earth's southern hemisphere. An equinox occurs midway between the two solstices, when the days and nights are the least equal. The featured picture is a composite of hourly images taken of the Sun above Bursa, Turkey on key days from solstice to equinox to solstice. The bottom Sun band was taken during the north's winter solstice in 2007 December, when the Sun could not rise very high in the sky nor stay above the horizon very long.   This lack of Sun caused winter. The top Sun band was taken during the northern summer solstice in 2008 June, when the Sun rose highest in the sky and stayed above the horizon for more than 12 hours.  This abundance of Sun caused summer. The middle band was taken during an equinox in 2008 March, but it is the same sun band that Earthlings see today, the day of the most recent  equinox.   Browser-Enhanced APOD: Google Chrome extensions (free, user created and maintained)",image,v1
Sand Dunes Thawing on Mars,https://apod.nasa.gov/apod/image/1909/DunesThawingOnMars_ExoMars_1080.jpg,2019-09-24,-,https://apod.nasa.gov/apod/image/1909/DunesThawingOnMars_ExoMars_1400.jpg,"What are these strange shapes on Mars?  Defrosting sand dunes. As spring dawned on the Northern Hemisphere of Mars, dunes of sand near the pole, as pictured here in late May by ESA's ExoMars Trace Gas Orbiter, began to thaw.  The carbon dioxide and water ice actually sublime in the thin atmosphere directly to gas.  Thinner regions of ice typically defrost first revealing sand whose darkness soaks in sunlight and accelerates the thaw.  The process might even involve sandy jets exploding through the thinning ice.  By summer, spots will expand to encompass the entire dunes.  The Martian North Pole is ringed by many similar fields of barchan sand dunes, whose strange, smooth arcs are shaped by persistent Martian winds.   Create a Distant Legacy: Send your name to Mars.",image,v1
"The Pelican Nebula in Gas, Dust, and Stars",https://apod.nasa.gov/apod/image/1909/Pelican_Akar_960.jpg,2019-09-25,Yannick Akar,https://apod.nasa.gov/apod/image/1909/Pelican_Akar_4554.jpg,"The Pelican Nebula is slowly being transformed.  IC 5070, the official designation, is divided from the larger North America Nebula by a molecular cloud filled with dark dust.  The Pelican, however, receives much study because it is a particularly active mix of star formation and evolving gas clouds.  The featured picture was produced in three specific colors -- light emitted by sulfur, hydrogen, and oxygen --  that can help us to better understand these interactions.  The light from young energetic stars is slowly transforming the cold gas to hot gas, with the advancing boundary between the two, known as an ionization front, visible in bright orange on the right. Particularly dense tentacles of cold gas remain.  Millions of years from now this nebula might no longer be known as the Pelican, as the balance and placement of stars and gas will surely leave something that appears completely different.",image,v1
Da Vinci Rise,https://apod.nasa.gov/apod/image/1909/DaVinciRisingLikaiLin_1024.jpg,2019-09-26,Likai Lin,https://apod.nasa.gov/apod/image/1909/DaVinciRisingLikaiLin.jpg,"An old Moon rose this morning, its waning sunlit crescent shining just above the eastern horizon before sunrise. But earthshine, light reflected from a bright planet Earth, lit the shadowed portion of the lunar disk and revealed most of a familiar lunar near side to early morning risers. In fact, a description of earthshine in terms of sunlight reflected by Earth's oceans illuminating the Moon's dark surface was written over 500 years ago by Leonardo da Vinci. One lunation ago this old Moon also rose above the eastern horizon. Its sunlit crescent and da Vinci glow were captured in stacked exposures from the Badain Jilin Desert of Inner Mongolia, China on August 29, 2019. This year marks the 500th anniversary of Leondardo da Vinci's death.",image,v1
